symbol,type,entry,exit,pnl,reason,bars
LINK-USD,B,8.522360801696777,8.607584409713745,1.4,target,7
LINK-USD,B,8.62128734588623,8.602819442749023,-0.2999,timeout,48
LINK-USD,B,8.42029094696045,8.38046971321106,-0.6621,stop,5
LINK-USD,B,8.757035255432129,8.84460560798645,1.4,target,18
LINK-USD,B,8.861053466796875,8.816748199462891,-0.7,stop,10
LINK-USD,B,8.742979049682617,8.699264154434204,-0.7,stop,41
LINK-USD,B,8.66292953491211,8.61961488723755,-0.7,stop,0
LINK-USD,A,8.80869166056315,8.764648202260334,-0.7,stop,13
LINK-USD,B,8.760289192199707,8.847892084121705,1.4,target,34
LINK-USD,B,9.019299507141113,8.999303469657898,-0.3104,stop,1
LINK-USD,B,8.994453430175781,9.00693416595459,0.1943,timeout,48
LINK-USD,B,8.980690956115723,8.9461669921875,-0.5382,timeout,48
LINK-USD,B,8.540595054626465,8.497892079353333,-0.7,stop,10
